"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","18889605.8233649","22449999.4979556","27488340.5677331","32452644.9639887","35920913.6454623","41009362.5846733","45014826.8581396","50532769.9870156","58151601.3674983","61927722.7767307","64625406.6991997","71581656.9367861","78734044.4826939","74771121.4808","75737590.1945891","87420449.8481384","84982237.4874165","99147212.5289909","115687961.683485","105610666.578518","116310381.812516","96573513.9868","119073201.1158","133276089.3898","148064703.9312","132871173.1792","165994886.180106","175754260.531852","163300404.774103","174463844.967106","163841948.560614","168059201.886548","172075537.592017","","","",
"Africa Eastern and Southern","AFE","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","18161689.9380098","18688866.53","16311089.38","23024416.272","33405361.4428117","29013333.336","39607770.2719302","42248887.772","51136157.4709825","52860413.046","59464851.952","60375754.932","","","","","","","","","","","","","","","","","","","","","","","","","","","","345780379.135232","450656979.011512","509313266.823632","561270873.110461","564749086.474195","611209634.608726","500914885.129338","474708544.328874","492951587.553245","473248932.326288","495495475.513315","526797937.662838","",
"Africa Western and Central","AFW","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","321070234.128","448160535.137","354515050.183","334521852.857696","501782779.261538","441471571.904","","","","65588570.908","211670681.309953","257586062.037488","297426145.487551","155058226.064","143417065.132648","222718150.6719","214983478.08025","387686651.838","444784089.065399","566607736.842898","861381734.710404","1173559794.989","1613246088.54348","2285783734.29451","2102908337.16819","2702941027.2669","3641400000","4212600000","4533900000","4890900000","3927000000","3421850990.1744","4105500000","3338795493.2031","2923861800.8817","1908235553.6601","",
"Albania","ALB","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","52095064.336","53156603.724","58727935","58273495","57440215","63083720","56746305","30180052.784","17278099.7256","34138033.132","53053042.7","69261077.4956781","92997318.7791609","65635997.7979681","74552170.0545346","94194228.9276945","103529106.768334","117813749.996087","130723337.479445","170291092.365776","218993873.397671","246457134.933603","276848712.743941","334246631.058618","397189689.999021","366306134.095032","367574831.064275","404295655.244521","386165196.657605","413360041.921113","420811677.826907","359944696.172571","430652244.145116","431208986.620223","500145450.324907","502149869.662113","483606299.329939","",
"Andorra","AND","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","425548451.958","759709053.377542","615591003.96","896277751.118","1308238022.106","903517860.446","511850028.21","845088048.345","923463585.856","1372523302.82","1678304628.066","1457990929.25063","1188657439.395","1471082613.525","1799923245.48","1087742527.482","1272000000","1272000000","1405456140","772414087.962","1350000000","3865997320","6975000000","8424000000","10414000000","8782563064","9345000000","9116700796","11516736174.1749","12254400000","12742000000","12841200000","3988842928.419","4562800000","4818000000","6142399999.99999","8280000000","10808000000","15002500000","15536300000","18486800000","25071046464.349","27750868811.7813","28253339862.4255","26234710218.4611","30665433943.5912","27599850569.7298","31294914217.1829","25255544806.8493","21661870446.9814","18916702533.1935","",
"Armenia","ARM","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76084762.215","72363636.38","37223225.27","42000449.54","35064058.5039388","40324450.9519168","27908882.082","31929498.9984339","43340383.3567222","43188787.9309873","45823806.529322","51896798.397047","59776251.3793335","72036935.6957613","94501156.5276918","132249832.587814","176705202.271118","261573904.861792","339528924.14588","252310803.061337","277391346.527377","305311195.942752","326853743.076","301002327.012","254766307.929","296117168.75913","263833083.209813","273378571.126987","289999550.443035","316116555.390854","285114710.910016","",
