Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/16/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121229050,1195530726,1264245810,1326256983,1377094972,1393854749,1346368715,1266480447,1282122905,1458100559,1606703911,1595530726,1741899441,1863128492,1606703911,1477653631,1839664804,1911731844,2088268156,2184357542,2158659218,2143016760,2243575419,2363128492,2468715084,1411731844,
Africa Eastern and Southern,AFE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,49642764224,42012844068,36472627972,37292608028,35181423943,32764786166,37438095633,46815726688,49214412835,48721978796,52197763527,51280894636,52022552908,54608932768,57925296491,66853558595,69658679393,70943916878,67066541569,65957872722,73797685405,70269214922,75159802715,92094097510,1.14924E+11,1.43501E+11,1.72429E+11,2.13355E+11,2.53767E+11,2.00899E+11,2.54855E+11,3.0182E+11,2.88891E+11,2.84675E+11,2.76187E+11,2.11556E+11,1.92947E+11,2.17565E+11,2.48797E+11,2.35662E+11,2.05695E+11,2.74309E+11
Afghanistan,AFG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,22222233.33,24444455.56,26666680,68888922.22,71111144.44,113333340,120000000,113333340,122222228.9,142222222.2,171111104.4,199999988.9,235555544.4,224444437.8,302222222.2,300000006.7,337777777.8,344444451.1,357777771.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1744130057,1916221932,1952274622,2085957967,2426832432,2666883743,2751911774,2683297129,2938542725,3385057319,4022392297,3984213673,4861530047,7004453746,13469073704,12587751053,15286375225,19356630727,18266549019,25302727808,36597620258,29478531189,24126806287,18857704522,19475693174,20788666426,17798009558,22342123733,20667160228,27867248571,30961777666,30665495085,30456586499,23113118035,21896456809,32544203898,36263010088,40179539977,32697107902,36499800289,50869973418,45593479612,49593384951,60130151923,66931024621,84107493421,1.24537E+11,1.22718E+11,1.69596E+11,1.2301E+11,1.74487E+11,2.29811E+11,2.47624E+11,1.94256E+11,2.02766E+11,1.32819E+11,1.1656E+11,1.42335E+11,1.66969E+11,1.71624E+11,,
Angola,AGO,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8187952997,6736804052,8725781182,9676099740,13749769575,24225663184,33245105956,44319695565,64168383680,41310593206,50280452511,66395086179,69924133110,67697421588,61341433064,25951749083,14017382489,20004930763,31767750477,28271707171,20327672441,27475246116
Albania,ALB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,335069933,319090900.3,327312512.5,333550012.5,348287487.5,418924987.5,312500000,82300000,81519209.68,189399541.5,225407481,302465325.4,371808985.5,230303544.6,291949986.8,540977914.6,700083398.1,836717875.5,910729685,1169850311,1596261929,1853022971,2242665086,3016116154,3259293924,3040048285,3337085649,3769457698,3565049425,3694412184,3732057452,3104896965,3437126528,4110290932,4785177777,4821430704,3435536125,5590528224
Andorra,AND,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06362E+11,3.19525E+11,3.75748E+11,5.02237E+11,6.73896E+11,8.19712E+11,9.52967E+11,1.26247E+12,8.99427E+11,1.11576E+12,1.36301E+12,1.52819E+12,1.50998E+12,1.4199E+12,1.04124E+12,9.52403E+11,1.09027E+12,1.28903E+12,1.24842E+12,9.37122E+11,
United Arab Emirates,ARE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50787202178,54362695711,69538461538,93968596324,1.22071E+11,1.52434E+11,1.8669E+11,2.48808E+11,2.01959E+11,2.38328E+11,3.15868E+11,3.75514E+11,3.92245E+11,4.01367E+11,3.61253E+11,3.60626E+11,3.84044E+11,3.92863E+11,4.04046E+11,3.35238E+11,
Argentina,ARG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,1147183934,1441753550,1424603255,1764705803,1904761830,1818181858,1714285705,2000000041,1769210603,2000000003,2500000047,4000000136,4999999840,3054054017,4695000304,5459999881,4999999950,4508960597,3895791555,5445263190,7663966256,9515669467,6003000152,10376666929,9054444307,8747619117,12029545361,10007559520,14643450361,14561091033,15095901878,16357317317,19385100000,24978532000,28381400000,30928400000,31137200000,27862300000,31223690400,31112418400,27736610298,33084505278,39266996606,46198180131,53550250227,65162321195,79762958392,65133480388,80208867996,97810932629,88655850854,80690471898,75818867911,63671789069,69842486096,72860588696,75766577039,80130495417,64640230229,89947580720
