Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/16/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930167597.8,1015642458,1125139665,1203910615,1271508380,1326256983,1410614525,1520111732,1603351955,1683240223,1787709497,1910055866,2091061453,2159217877,2096089385,2127932961,2308938547,2272625698,2317877095,2322346369,2328491620,2327932961,2416759777,2537430168,2602234637,2339664804,
Africa Eastern and Southern,AFE,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,1.10473E+11,1.20837E+11,1.16638E+11,1.25521E+11,1.17922E+11,94079020008,1.08666E+11,1.4012E+11,1.5208E+11,1.62703E+11,2.00874E+11,2.18943E+11,1.92546E+11,1.8922E+11,2.02356E+11,2.26316E+11,2.22933E+11,2.37939E+11,2.26518E+11,2.22216E+11,2.36044E+11,2.14276E+11,2.1424E+11,2.8639E+11,3.56333E+11,4.07396E+11,4.44955E+11,5.05611E+11,5.3018E+11,5.62257E+11,6.71829E+11,7.52831E+11,7.78737E+11,7.92396E+11,7.92117E+11,7.44975E+11,7.07638E+11,8.0088E+11,7.97599E+11,7.98128E+11,7.40782E+11,8.57135E+11
Afghanistan,AFG,Final consumption expenditure (current US$),NE.CON.TOTL.CD,466666655.6,477777737.8,466666655.6,702222244.4,762222182.2,995555555.6,1422222222,1711111100,1371111151,1386666667,1691108967,1826664358,1544444496,1637777771,1984444462,2173333413,2248888958,2680000058,2942222153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,56123514564,55268131787,55722634637,60691328620,72215839032,69214525576,73356286526,77033445850,64119641884,77502060544,78444028146,84343176562,75228387242,60523665485,76052918623,91441420338,89856687753,97190215250,98085016310,87488399155,1.07274E+11,1.31271E+11,1.51157E+11,1.82545E+11,2.18305E+11,2.54427E+11,3.57634E+11,4.12405E+11,3.97715E+11,4.54416E+11,5.06067E+11,5.10425E+11,6.47804E+11,6.69988E+11,6.30426E+11,5.81789E+11,5.65312E+11,5.98556E+11,6.35872E+11,5.94431E+11,6.0394E+11
Angola,AGO,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3896714486,6171664556,9268944319,11543958084,13171613116,17739329571,23251227788,30360597136,40382989442,43668254164,43170126207,57145850473,66564342691,78940114314,85698714871,60335539430,34841733943,48362541358,51993699620,40570620099,34855753518,41842443044
Albania,ALB,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,1350489534,1365198182,1510787488,1545825025,1571774975,1659124975,1660736838,1287582611,1218994125,1641562844,2178257001,2522368079,3314541301,2447593797,2684992194,3134797248,3216796289,3484217876,3972822134,5130526832,6352358416,7083949883,7841920871,9849228612,12040547663,11072100832,10646770101,11508049493,10941450415,11633370651,12201540482,10453742765,10939629297,11861777666,13700536535,14069137650,13984503732,15757879678
Andorra,AND,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,27423842426,29958338435,34036284078,37914534935,43936878890,51681826956,66956330612,91597681176,1.11962E+11,1.42257E+11,1.69402E+11,2.0999E+11,2.504E+11,2.86994E+11,3.22609E+11,3.34285E+11,3.4522E+11,3.49951E+11,3.66022E+11,3.90287E+11,3.72358E+11,4.14316E+11,4.94479E+11,3.98243E+11,3.80919E+11,3.92515E+11,4.04189E+11,4.36284E+11,4.74467E+11,5.07739E+11,5.19492E+11,5.29899E+11,5.47233E+11,5.53925E+11,5.6113E+11,5.96682E+11,6.838E+11,7.75042E+11,8.94609E+11,1.07075E+12,1.28487E+12,1.32474E+12,1.42328E+12,1.43873E+12,1.55884E+12,1.65351E+12,1.78159E+12,1.76152E+12,1.76762E+12,1.7594E+12,1.79721E+12,1.87019E+12,1.89189E+12,
United Arab Emirates,ARE,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71329996950,78539648958,84958535248,1.0275E+11,1.15984E+11,1.3981E+11,1.72367E+11,2.07203E+11,1.58522E+11,1.51477E+11,1.69552E+11,1.56847E+11,1.75246E+11,1.9029E+11,1.71336E+11,1.73959E+11,1.94803E+11,2.11619E+11,2.15044E+11,1.90885E+11,
Argentina,ARG,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,19376160456,14985585096,19434576526,21399411628,22272856091,18504546349,20416857849,23757715275,23591580209,25465199608,26309749589,40565554072,55867666354,37081352154,33780449869,37911999742,40255409215,51220430880,58617235879,61178949170,63800156038,78812915074,61061001543,68035001719,89524443087,89049048326,98492044685,59781714320,1.1347E+11,1.58921E+11,1.94086E+11,1.95824E+11,2.13955E+11,2.11354E+11,2.2051E+11,2.38353E+11,2.43787E+11,2.37778E+11,2.36219E+11,2.23202E+11,72446391953,95225639005,1.24228E+11,1.49393E+11,1.76045E+11,2.17145E+11,2.77344E+11,2.62659E+11,3.36351E+11,4.2365E+11,4.45242E+11,4.57043E+11,4.33335E+11,4.99614E+11,4.6485E+11,5.43457E+11,4.47542E+11,3.71023E+11,3.07976E+11,3.75261E+11
