"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","2.05010457821206","2.40199488538204","1.99569511074286","2.52724508427096","2.21331590040687","2.19295235565584","2.06305571964545","2.14555124959142","2.08691932992126","2.21072233516933","2.48509122487913","2.9093195889453","3.49662723166947","3.81934515240671","3.52957505350077","3.37471497089922","3.39574834429289","3.69144559994795","3.80713732860484","3.82427125546791","3.85788754701313","3.45690689575995","3.75531215280211","4.98751539529009","5.24150908666177","5.24665911790431","4.81664247888671","3.77331595023043","2.97342220987405","3.13152372410438","2.64687087038873","2.16204743027066","1.85566003387744","1.84703019507686","1.85231660815018","2.28599922074865","2.01705659648152","1.97385372491823","2.05557201875877","1.78158354351964","1.87359534959088","1.83974658251476","1.85835316015349","1.83678812628608","1.9693998793257","2.00789252309964","1.5946619845177","1.55586460013733","1.59040255850296","1.77540666076235","1.81808271487871","1.63491229500312","1.42823685332631","1.50397014934297","1.1480914789224","1.10820281631736","1.14844671246698","",
"Afghanistan","AFG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","1.62960609911055","","","1.86891025641026","1.61082474226804","1.72206572769953","2.04608695652174","2.0114747930775","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43125786929857","1.99206569856085","1.89623399634252","2.56626735198569","2.335545701939","2.08741255278385","1.94583569418812","1.82134545354632","1.17541612009987","1.07694976762403","1.29801287790022","0.994575822723645","0.956772140958855","0.945226799939516","1.00674629248273","1.11823060279695","1.36968441109766","",
"Africa Western and Central","AFW","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","1.3199180206607","1.31656642025542","1.43664024814384","1.47168919476569","1.37193791674353","","5.55358127450687","6.44681710495251","4.00038860006397","3.15502409176422","3.85771090761488","3.85409311884601","3.37178356588533","5.64163885229004","4.34549791599221","4.31470741993344","3.82497578652977","3.22534544158471","2.6444338240074","2.57545485170664","2.15761648390867","2.08079001591074","1.59190398081798","1.53887379128848","1.50559461419471","1.21747351215597","1.26762641527651","1.1252269950206","1.17866086525819","1.16639983310707","1.14704041464779","1.37407233878828","1.04622528581315","0.828096956465951","0.747621658840361","0.754609416132162","0.80629992887409","0.998509461378387","0.84319749363134","1.03690555410854","1.11399588422209","0.957290371498626","0.888394100397032","0.732512513277109","0.692776071725744","0.757327605624794","0.871846340622701","0.972806872628909","0.880388184089781","0.852291834388202","0.763744422441434","0.824640564884384","0.806713666808225","0.720279971640209","0.897884627386218","0.883373637067815","0.919129768039692","0.871354405078343","1.00679572532766","",
"Angola","AGO","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","1.715E-05","1.73E-05","22.25","21.9805","19.4323333333333","17.4636666666667","7.1025","5.68283054258138","17.5225890755741","5.70928069083604","4.70739276826233","2.44784815671705","5.97226820719497","2.64201188106298","17.334692213616","6.39260315427404","4.52435381521461","2.86993244512575","3.76147907354734","3.47118018672779","3.69224094698531","3.76149530543532","3.11405449295742","3.5731203644916","4.70961004832051","4.17758456553984","3.25566035129376","3.2366594992166","4.45523942155109","4.69845451564414","3.1054262930828","2.73334065530719","2.50798545587522","1.87177586619642","1.64374028332038","1.61585203608809","",
"Albania","ALB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","6.05202163275818","5.84831705344366","5.65159574468085","5.44128198995456","6.11750454270139","5.65142619937141","5.62618650405569","5.86222892264873","5.61731662843362","5.16761272357288","5.8883007196812","5.79127042184833","4.6708878237371","3.19945106674965","2.54781906037648","2.05358735905793","1.37902962734156","1.28308078036268","1.23824256064749","1.24921009885957","1.24636024189216","1.30929137475594","1.32003449433204","1.33684292419802","1.38115794211088","1.35000497056322","1.56776908873068","1.8207653435572","1.98486885667765","1.5172171395597","1.55859189302349","1.52826633776627","1.48708257655216","1.40898210141146","1.34651599128914","1.16230386432234","1.10358100880452","1.10869638590383","1.16126612950916","1.29108711382404","1.53546471347491","",
"Andorra","AND","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","4.77708772629571","4.6321895785529","5.25732335470458","3.84047199865209","4.75989981421722","6.05034410210361","5.86576594780379","5.96086002762278","7.31962307712886","8.38354637039848","8.23925643426328","8.03470047170946","7.51673251608092","7.98225061154126","","","","10.8084442211664","10.5953379048186","9.65391727370096","8.56401589280891","9.93742809836708","12.1115453982336","11.0711765507313","11.5870167234341","10.4944584958435","","8.74727928930879","8.06083195513628","7.6968663911392","","10.8366360135782","8.65719486784966","7.83626377960408","7.33152015962162","6.62623488470733","6.01557530347627","6.51208250497469","7.38191554701264","6.45261986444918","6.33174230576659","6.31371134467024","5.83511046514236","5.51738716778336","5.11425752213888","4.66287376800018","4.37762718410802","4.49675864192673","4.1177155742464","5.15911693889368","4.92892438522309","4.9192221700515","5.0247386815877","5.78125733059744","6.41726199535298","7.42491757482086","6.09751646386809","6.34268430470335","6.08733279071895","5.3652597763107","5.7065402871067","",
"United Arab Emirates","ARE","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.75906148063517","8.62972120984848","7.6695379976034","8.3237222448449","5.61210552340521","4.87553180534483","4.69230626722928","4.6114776396626","3.65647067832081","3.22597447304637","3.28052136989454","3.6680226492701","5.45710777311036","6.03859220826788","5.46631452753061","5.07555649376756","6.03468625064444","5.64365135247024","","","","","","","",
"Argentina","ARG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","1.55","2.14","2.66","1.68","1.15","1.07","1.168","1.4","1.68571428571429","1.9375","1.87777777777778","1.80769230769231","1.82380952380952","1.84857142857143","1.65918367346939","2.04195804195804","3.78129117259552","4.00860009555662","4.71914405808177","4.67335625570135","3.09895833333333","3.46534653465347","2.70455793520044","2.73881278538813","2.16203914428767","2.29971724787936","2.31367874921125","2.2843868799904","2.12493922313663","1.88036559239223","1.45090921225786","1.50692655529635","1.42122223348777","1.42280290057293","1.45703853325047","1.47307310721151","1.24122726437626","1.14013911131295","1.13631802186333","1.22035954754993","1.14882267666887","1.18423354187058","1.09188047859748","1.06089505704838","0.883295358833529","0.847154783885961","0.788233877461469","0.792548175031362","0.762756475390461","0.886508576686385","0.814878105497939","0.764287094036749","0.784824721019786","0.837736430159436","0.878100919364039","0.850128583186764","0.813140077928875","0.856137916373543","0.745498854953045","0.706186670516138","0.761486737293151","",
