country_name,country_code,p_2001,p_2002,p_2003,p_2004,p_2005,p_2006,p_2007,p_2008,p_2009,p_2010,p_2011,p_2012,p_2013,p_2014,p_2015,p_2016,p_2017,p_2018,p_2019,income_group
Aruba,ABW,92892.0,94992.0,97016.0,98744.0,100028.0,100830.0,101226.0,101362.0,101452.0,101665.0,102050.0,102565.0,103165.0,103776.0,104339.0,104865.0,105361.0,105846.0,106310.0,High income
Afghanistan,AFG,21606992.0,22600774.0,23680871.0,24726689.0,25654274.0,26433058.0,27100542.0,27722281.0,28394806.0,29185511.0,30117411.0,31161378.0,32269592.0,33370804.0,34413603.0,35383028.0,36296111.0,37171922.0,38041757.0,Low income
Angola,AGO,16945753.0,17519418.0,18121477.0,18758138.0,19433604.0,20149905.0,20905360.0,21695636.0,22514275.0,23356247.0,24220660.0,25107925.0,26015786.0,26941773.0,27884380.0,28842482.0,29816769.0,30809787.0,31825299.0,Low income
Albania,ALB,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0,High income
Andorra,AND,67344.0,70048.0,73180.0,76250.0,78871.0,80995.0,82682.0,83860.0,84461.0,84454.0,83748.0,82427.0,80770.0,79213.0,77993.0,77295.0,76997.0,77008.0,77146.0,High income
United Arab Emirates,ARE,3302722.0,3478769.0,3711931.0,4068577.0,4588222.0,5300172.0,6168846.0,7089486.0,7917368.0,8549998.0,8946778.0,9141598.0,9197908.0,9214182.0,9262896.0,9360975.0,9487206.0,9630966.0,9770526.0,High income
Argentina,ARG,37275644.0,37681743.0,38087866.0,38491970.0,38892924.0,39289876.0,39684303.0,40080159.0,40482786.0,40788453.0,41261490.0,41733271.0,42202935.0,42669500.0,43131966.0,43590368.0,44044811.0,44494502.0,44938712.0,High income
Armenia,ARM,3050686.0,3033976.0,3017938.0,3000715.0,2981262.0,2958301.0,2932615.0,2907615.0,2888094.0,2877314.0,2876536.0,2884239.0,2897593.0,2912403.0,2925559.0,2936147.0,2944789.0,2951741.0,2957728.0,High income
American Samoa,ASM,58496.0,59077.0,59495.0,59684.0,59557.0,59109.0,58367.0,57490.0,56675.0,56084.0,55755.0,55669.0,55717.0,55791.0,55806.0,55739.0,55617.0,55461.0,55312.0,High income
Antigua and Barbuda,ATG,77212.0,78298.0,79311.0,80347.0,81462.0,82715.0,84029.0,85394.0,86743.0,88030.0,89250.0,90407.0,91510.0,92562.0,93571.0,94520.0,95425.0,96282.0,97115.0,High income
Australia,AUS,19413000.0,19651400.0,19895400.0,20127400.0,20394800.0,20697900.0,20827600.0,21249200.0,21691700.0,22031750.0,22340024.0,22733465.0,23128129.0,23475686.0,23815995.0,24190907.0,24601860.0,24982688.0,25365745.0,High income
Austria,AUT,8042293.0,8081957.0,8121423.0,8171966.0,8227829.0,8268641.0,8295487.0,8321496.0,8343323.0,8363404.0,8391643.0,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,8840521.0,8879920.0,High income
Azerbaijan,AZE,8111200.0,8171950.0,8234100.0,8306500.0,8391850.0,8484550.0,8581300.0,8763400.0,8947243.0,9054332.0,9173082.0,9295784.0,9416801.0,9535079.0,9649341.0,9757812.0,9854033.0,9939771.0,10024283.0,High income
Burundi,BDI,6525546.0,6704118.0,6909161.0,7131688.0,7364857.0,7607850.0,7862226.0,8126104.0,8397661.0,8675606.0,8958406.0,9245992.0,9540302.0,9844301.0,10160034.0,10488002.0,10827010.0,11175379.0,11530577.0,Low income
Belgium,BEL,10286570.0,10332785.0,10376133.0,10421137.0,10478617.0,10547958.0,10625700.0,10709973.0,10796493.0,10895586.0,11038264.0,11106932.0,11159407.0,11209057.0,11274196.0,11331422.0,11375158.0,11427054.0,11488980.0,High income
Benin,BEN,7076728.0,7295400.0,7520556.0,7750003.0,7982223.0,8216893.0,8454790.0,8696915.0,8944713.0,9199254.0,9460829.0,9729254.0,10004594.0,10286839.0,10575962.0,10872072.0,11175192.0,11485035.0,11801151.0,Low income
Burkina Faso,BFA,11944589.0,12293097.0,12654624.0,13030576.0,13421935.0,13829173.0,14252029.0,14689725.0,15141098.0,15605211.0,16081915.0,16571252.0,17072791.0,17586029.0,18110616.0,18646350.0,19193236.0,19751466.0,20321383.0,Low income
Bangladesh,BGD,130088709.0,132478077.0,134791598.0,136986429.0,139035505.0,140921154.0,142660381.0,144304164.0,145924795.0,147575433.0,149273134.0,151005733.0,152761413.0,154517385.0,156256287.0,157977151.0,159685421.0,161376713.0,163046173.0,Low income
Bulgaria,BGR,8009142.0,7837161.0,7775327.0,7716860.0,7658972.0,7601022.0,7545338.0,7492561.0,7444443.0,7395599.0,7348328.0,7305888.0,7265115.0,7223938.0,7177991.0,7127822.0,7075947.0,7025037.0,6975761.0,High income
Bahrain,BHR,697550.0,735140.0,778708.0,829846.0,889157.0,958423.0,1035924.0,1114645.0,1185075.0,1240864.0,1278153.0,1299942.0,1315029.0,1336073.0,1371853.0,1425793.0,1494077.0,1569440.0,1641164.0,High income
Bahamas,BHS,302618.0,307657.0,313123.0,318893.0,324848.0,331032.0,337387.0,343680.0,349600.0,354936.0,359583.0,363581.0,367162.0,370625.0,374200.0,377923.0,381749.0,385635.0,389486.0,High income
Bosnia and Herzegovina,BIH,3755514.0,3759389.0,3762179.0,3764194.0,3765332.0,3765422.0,3762791.0,3754261.0,3735945.0,3705478.0,3661173.0,3604972.0,3542598.0,3482106.0,3429362.0,3386263.0,3351534.0,3323929.0,3300998.0,High income
Belarus,BLR,9928549.0,9865548.0,9796749.0,9730146.0,9663915.0,9604924.0,9560953.0,9527985.0,9504583.0,9483836.0,9461643.0,9446836.0,9443211.0,9448515.0,9461076.0,9469379.0,9458989.0,9438785.0,9419758.0,High income
Belize,BLZ,255068.0,262387.0,269428.0,276516.0,283798.0,291338.0,299031.0,306822.0,314655.0,322465.0,330236.0,338001.0,345707.0,353366.0,360926.0,368399.0,375775.0,383071.0,390351.0,High income
Bermuda,BMU,62504.0,62912.0,63325.0,63740.0,64154.0,64523.0,64888.0,65273.0,65636.0,65124.0,64564.0,64798.0,65001.0,65138.0,65237.0,64554.0,63873.0,63918.0,63911.0,High income
"Bolivia, Plurinational State of",BOL,8580244.0,8742822.0,8905820.0,9069044.0,9232301.0,9395449.0,9558438.0,9721457.0,9884790.0,10048597.0,10212951.0,10377677.0,10542375.0,10706517.0,10869732.0,11031822.0,11192853.0,11353140.0,11513102.0,Low income
Brazil,BRA,177196051.0,179537523.0,181809244.0,184006479.0,186127108.0,188167353.0,190130445.0,192030362.0,193886505.0,195713637.0,197514541.0,199287292.0,201035904.0,202763744.0,204471759.0,206163056.0,207833825.0,209469320.0,211049519.0,High income
Barbados,BRB,272494.0,273423.0,274331.0,275283.0,276320.0,277475.0,278701.0,279946.0,281107.0,282131.0,282987.0,283698.0,284294.0,284825.0,285327.0,285798.0,286229.0,286640.0,287021.0,High income
Brunei Darussalam,BRN,340037.0,346777.0,353295.0,359434.0,365112.0,370262.0,374967.0,379418.0,383902.0,388634.0,393687.0,398997.0,404414.0,409778.0,414914.0,419791.0,424481.0,428960.0,433296.0,High income
Bhutan,BTN,603643.0,616025.0,627840.0,638809.0,648744.0,657404.0,664873.0,671611.0,678329.0,685502.0,693297.0,701582.0,710235.0,719053.0,727885.0,736706.0,745563.0,754396.0,763094.0,Low income
Botswana,BWA,1674674.0,1704637.0,1734387.0,1765533.0,1799077.0,1835911.0,1875458.0,1915636.0,1953495.0,1987106.0,2015406.0,2039551.0,2062551.0,2088619.0,2120716.0,2159925.0,2205076.0,2254067.0,2303703.0,High income
Central African Republic,CAF,3722016.0,3802129.0,3881185.0,3959883.0,4038380.0,4118075.0,4198004.0,4273368.0,4337623.0,4386765.0,4418639.0,4436411.0,4447945.0,4464171.0,4493171.0,4537683.0,4596023.0,4666375.0,4745179.0,Low income
Canada,CAN,31020902.0,31360079.0,31644028.0,31940655.0,32243753.0,32571174.0,32889025.0,33247118.0,33628895.0,34004889.0,34339328.0,34714222.0,35082954.0,35437435.0,35702908.0,36109487.0,36545236.0,37065084.0,37601230.0,High income
Switzerland,CHE,7229854.0,7284753.0,7339001.0,7389625.0,7437115.0,7483934.0,7551117.0,7647675.0,7743831.0,7824909.0,7912398.0,7996861.0,8089346.0,8188649.0,8282396.0,8373338.0,8451840.0,8514329.0,8575280.0,High income
Chile,CHL,15516112.0,15684413.0,15849649.0,16014972.0,16182713.0,16354507.0,16530201.0,16708255.0,16886184.0,17062531.0,17233584.0,17400359.0,17571511.0,17758969.0,17969356.0,18209072.0,18470435.0,18729166.0,18952035.0,High income
China,CHN,1271850000.0,1280400000.0,1288400000.0,1296075000.0,1303720000.0,1311020000.0,1317885000.0,1324655000.0,1331260000.0,1337705000.0,1345035000.0,1354190000.0,1363240000.0,1371860000.0,1379860000.0,1387790000.0,1396215000.0,1402760000.0,1407745000.0,High income
Côte d'Ivoire,CIV,16853027.0,17231539.0,17599613.0,17970493.0,18354513.0,18754914.0,19171250.0,19605568.0,20059147.0,20532944.0,21028652.0,21547188.0,22087506.0,22647672.0,23226148.0,23822726.0,24437475.0,25069226.0,25716554.0,Low income
