country_name,country_code,edu_2001,edu_2002,edu_2003,edu_2004,edu_2005,edu_2006,edu_2007,edu_2008,edu_2009,edu_2010,edu_2011,edu_2012,edu_2013,edu_2014,edu_2015,edu_2016,edu_2017,edu_2018,edu_2019,income_group,university_count,tuition
Angola,AGO,214983478.1,387686651.8,444784089.1,566607736.8,861381734.7,1173559795.0,1613246089.0,2285783734.0,2102908337.0,2702941027.0,3641400000.0,4212600000.0,4533900000.0,4890900000.0,3927000000.0,3421850990.0,4105500000.0,3338795493.0,2923861801.0,Low income,18,Standard
Albania,ALB,117813750.0,130723337.5,170291092.4,218993873.4,246457134.9,276848712.7,334246631.1,397189690.0,366306134.1,367574831.1,404295655.2,386165196.7,413360041.9,420811677.8,359944696.2,430652244.1,431208986.6,500145450.3,502149869.7,High income,35,Standard
Argentina,ARG,12841200000.0,3988842928.0,4562800000.0,4818000000.0,6142400000.0,8280000000.0,10808000000.0,15002500000.0,15536300000.0,18486800000.0,25071046464.0,27750868812.0,28253339862.0,26234710218.0,30665433944.0,27599850570.0,31294914217.0,25255544807.0,21661870447.0,High income,127,Standard
Armenia,ARM,51896798.4,59776251.38,72036935.7,94501156.53,132249832.6,176705202.3,261573904.9,339528924.1,252310803.1,277391346.5,305311195.9,326853743.1,301002327.0,254766307.9,296117168.8,263833083.2,273378571.1,289999550.4,316116555.4,High income,44,Standard
Antigua and Barbuda,ATG,26838989.33,26975423.75,27089232.86,27426346.15,29021299.94,30899435.99,32816392.09,31770968.28,26493959.99,25222042.51,24807868.34,26107240.84,25712732.5,26752015.82,28180767.51,30138367.5,31257630.83,34379848.33,35583251.67,High income,2,Standard
Australia,AUS,17825920000.0,18703300000.0,22118880000.0,29169420000.0,32781000000.0,34392200000.0,38025600000.0,46460000000.0,43008000000.0,55880000000.0,64990000000.0,75750000000.0,76343429209.0,69565654245.0,66265485443.0,59237327896.0,64759451683.0,69277552963.0,67771519203.0,High income,40,Standard
Austria,AUT,10666500000.0,11342000000.0,13754700000.0,15420000000.0,16033500000.0,17085900000.0,19438800000.0,22003800000.0,22200000000.0,21330000000.0,23382000000.0,21361000000.0,22767486392.0,22879080370.0,19699836913.0,20343905069.0,20849912377.0,22772962547.0,22418716463.0,High income,73,Standard
Azerbaijan,AZE,204717534.6,198777319.5,240955666.4,298904345.2,391946562.3,522729572.4,804273919.1,1161552154.0,1402953098.0,1442491652.0,1572861796.0,1416304373.0,1732254824.0,1904229749.0,1532380564.0,1077984877.0,997849387.7,1141284052.0,1178560520.0,High income,41,Standard
Burundi,BDI,24032464.99,22565512.37,21485250.11,25172844.75,39578868.0,49950713.33,58062872.69,74750419.44,96339248.08,128556512.5,128000261.2,132394445.5,126977586.9,139687047.9,160583021.9,141396663.7,142017448.7,138386055.1,136516180.5,Low income,21,Standard
Belgium,BEL,13505369110.0,14955986994.0,17972583607.0,21018800000.0,21840000000.0,23308200000.0,26855100000.0,31416000000.0,30625000000.0,29768000000.0,32007600000.0,31087332729.0,32676033375.0,33557967198.0,28304119719.0,29047726882.0,30600941296.0,33140940376.0,32657131028.0,High income,63,Standard
Benin,BEN,98959268.72,110400864.5,149772432.5,204901674.8,237105982.2,243734743.5,262292962.4,382256503.6,417336445.7,454178646.5,509864964.1,527152116.1,583850084.5,601659882.3,331316926.7,343714272.8,368443846.0,413747658.8,417919615.3,Low income,26,Standard
Burkina Faso,BFA,101373192.8,124134763.5,174781869.3,216245121.5,259714556.5,275516707.0,201194096.7,267450040.5,283298739.7,316783607.5,478776255.6,443214555.2,563778525.7,574846323.4,486733714.5,528480500.2,585183172.9,663220026.6,660570964.2,Low income,17,Standard
Bangladesh,BGD,723187157.1,711350557.2,1051413057.0,1005296599.0,1120444300.0,1221510706.0,1516485097.0,1687498334.0,1764900000.0,2224426875.0,2737025369.0,2877837611.0,2915472305.0,2970924594.0,2973550529.0,2912247631.0,2940213483.0,2919227416.0,2854912996.0,Low income,138,Standard
Bulgaria,BGR,470297978.2,534208450.6,818722654.2,587487497.8,1141201228.0,1277445060.0,1481723965.0,2073872028.0,2125075933.0,1975183834.0,2061744959.0,1912759792.0,2099528168.0,2195890795.0,1925811892.0,2063851351.0,2304111721.0,2556839072.0,2666535120.0,High income,48,Standard
Bahrain,BHR,327101252.1,325162233.9,358903904.3,402135541.2,467297742.1,509167314.2,542212239.9,634553007.7,543752900.7,638356055.7,705970305.9,865489653.8,912098876.1,924073781.5,853058884.5,885789295.2,974387960.1,1039628457.0,1059005497.0,High income,12,Standard
Bahamas,BHS,311409679.1,333575032.3,334374950.5,341904233.3,370294013.6,381613433.0,398393799.4,401459211.0,377485943.8,379274100.6,379046649.5,400479598.7,391116515.6,410667719.4,437096537.7,438661462.5,453146222.3,460377095.4,481070541.0,High income,1,Standard
Belarus,BLR,665814036.9,788698685.7,968107764.1,1255727395.0,1688677369.0,2103539190.0,2184994306.0,2779862732.0,2189456274.0,2774972143.0,2754497322.0,3063043393.0,3556336589.0,3585480110.0,2573943574.0,2266976958.0,2476338808.0,2720370778.0,2938423342.0,High income,47,Standard
Belize,BLZ,40145593.43,43357584.24,45598985.25,47666764.95,52653673.78,60312849.54,64374475.18,71339135.63,76578921.72,80160152.29,91361059.5,91806551.77,93307499.07,97737290.4,103917438.3,107256411.2,110759766.4,112441621.4,116238479.8,High income,3,Standard
"Bolivia, Plurinational State of",BOL,431412531.0,476678604.9,492506837.6,499968415.5,512755400.8,577051405.8,731320003.9,1026373448.0,1228297766.0,1352646270.0,1505011678.0,1542140161.0,1744968206.0,1902932281.0,1937884511.0,2025869999.0,2213058944.0,2390169165.0,2434943950.0,Low income,52,Standard
Brazil,BRA,20704400000.0,18290300000.0,20585050000.0,25350000000.0,38017400000.0,51732000000.0,66445000000.0,85140000000.0,88020000000.0,115000000000.0,140000000000.0,133000000000.0,135000000000.0,137000000000.0,108000000000.0,110000000000.0,127000000000.0,117000000000.0,115000000000.0,High income,203,Standard
Barbados,BRB,154312760.0,161028945.0,175921460.0,187679460.0,202269750.0,213107153.1,233730134.3,227860207.1,239425107.6,255363310.2,243358198.6,239186456.7,259343668.7,278115691.7,245535407.6,217803292.1,207692870.0,212142254.0,219742322.6,High income,4,Standard
Brunei Darussalam,BRN,194861941.4,193881659.8,207015005.5,235855103.1,270215270.7,306726598.3,309352667.8,339807530.1,236287656.9,276219948.7,424837557.6,498860670.1,538598852.6,570014890.7,497533111.5,488232254.2,512674430.9,544702386.2,551857369.7,High income,4,Standard
Bhutan,BTN,17848725.15,20170395.5,23590195.7,27061823.57,33770878.31,34247365.45,41023712.3,38081896.82,47574340.94,44530315.77,56049718.24,70228655.26,84885047.83,108332154.7,130771313.4,138688823.5,157245657.4,156482194.8,162064311.7,Low income,0,NA
Botswana,BWA,385344209.7,366430881.6,561316699.5,703000768.9,846662435.6,773473105.4,734464070.2,850367834.9,950760273.8,1151564587.0,1423528438.0,1342804984.0,1351011149.0,1493702157.0,1312915889.0,1447086189.0,1544009398.0,1608927012.0,1567354888.0,High income,15,Standard
Central African Republic,CAF,14708127.92,15680884.53,18201541.9,20168624.7,21366967.97,20287247.25,21929333.22,24921971.17,25255167.56,24750699.06,28148678.24,28995504.92,19627155.25,22016945.7,19744122.42,21249490.85,25046257.1,27447570.47,27439270.5,Low income,1,Standard
Canada,CAN,36259000000.0,36807502558.0,42518784917.0,47624247664.0,53590000000.0,60125000000.0,66555000000.0,67014000000.0,61830000000.0,79500000000.0,86768000000.0,88740000000.0,89726000000.0,87754000000.0,75429000000.0,74443000000.0,80359000000.0,83317000000.0,84796000000.0,High income,101,Standard
Switzerland,CHE,12188200000.0,14977800000.0,18450800000.0,20253000000.0,20021400000.0,20282500000.0,21576000000.0,25690600000.0,25968600000.0,27348000000.0,33096600000.0,32264200000.0,31580132136.0,32237046458.0,31116994110.0,30655082692.0,30743553350.0,31230141964.0,31185906635.0,High income,23,Standard
Chile,CHL,2432995859.0,2466815495.0,2621454001.0,3178546836.0,3763200000.0,4420000000.0,5220600000.0,6637226648.0,6810300000.0,8586900000.0,9764400000.0,11883000000.0,12064800000.0,11914524129.0,11669037997.0,12394135021.0,14037589935.0,14987502036.0,14195908618.0,High income,55,Standard
China,CHN,23628000000.0,26134000000.0,29535000000.0,34905000000.0,40633000000.0,49225000000.0,63724000000.0,82698000000.0,91111000000.0,108000000000.0,134000000000.0,152000000000.0,170000000000.0,188000000000.0,197000000000.0,200000000000.0,220000000000.0,247000000000.0,254000000000.0,High income,936,Standard
Côte d'Ivoire,CIV,392849021.8,478824168.2,577982686.1,638911372.5,667439218.8,691101443.1,819614930.2,994072457.5,983127968.2,1055033451.0,981199045.7,1085248578.0,1322136130.0,1571110618.0,1506534315.0,1779925980.0,1835286676.0,1778329630.0,1815497898.0,Low income,15,Standard
Cameroon,CMR,230446931.8,319765817.3,450951581.1,504784837.8,549704698.6,518521290.2,653619943.9,707092792.9,790054626.8,806400124.4,852198418.1,793248441.2,887322907.2,967390908.8,851525339.8,891255109.3,949717762.7,1051468354.0,1040586269.0,Low income,16,Standard
"Congo, the Democratic Republic of the",COD,76937527.82,95880005.0,103238083.8,123167613.0,146744485.0,185776226.4,221655454.4,262911987.4,262966633.1,313955080.1,417236178.7,520948976.4,615293718.0,677102825.5,723611593.5,748714526.4,761080575.8,944806215.9,1008611476.0,Low income,69,Standard
Congo,COG,82174422.98,83628637.75,97674997.54,105473036.0,127053038.6,172169235.6,185475068.2,256375226.5,224921915.8,307682527.5,354594813.2,421783255.8,442067924.3,457420174.9,297855573.5,247597858.8,240213273.9,293580669.2,252433644.6,Low income,1,Standard
