Country_Name,Country_Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Income_Group
Aruba,ABW,1410614525.0,1520111732.0,1603351955.0,1683240223.0,1787709497.0,1910055866.0,2091061453.0,2159217877.0,2096089385.0,2127932961.0,2308938547.0,2272625698.0,2317877095.0,2322346369.0,2328491620.0,2327932961.0,2416759777.0,2537430168.0,2602234637.0,High income
Angola,AGO,6171664556.0,9268944319.0,11543958084.0,13171613116.0,17739329571.0,23251227788.0,30360597136.0,40382989442.0,43668254164.0,43170126207.0,57145850473.0,66564342691.0,78940114314.0,85698714871.0,60335539430.0,34841733943.0,48362541358.0,51993699620.0,40570620099.0,Lower middle income
Albania,ALB,3484217876.0,3972822134.0,5130526832.0,6352358416.0,7083949883.0,7841920871.0,9849228612.0,12040547663.0,11072100832.0,10646770101.0,11508049493.0,10941450415.0,11633370651.0,12201540482.0,10453742765.0,10939629297.0,11861777666.0,13700536535.0,14069137650.0,Upper middle income
United Arab Emirates,ARE,71329996950.0,78539648958.0,84958535248.0,102750000000.0,115984000000.0,139810000000.0,172367000000.0,207203000000.0,158522000000.0,151477000000.0,169552000000.0,156847000000.0,175246000000.0,190290000000.0,171336000000.0,173959000000.0,194803000000.0,211619000000.0,215044000000.0,High income
Argentina,ARG,223202000000.0,72446391953.0,95225639005.0,124228000000.0,149393000000.0,176045000000.0,217145000000.0,277344000000.0,262659000000.0,336351000000.0,423650000000.0,445242000000.0,457043000000.0,433335000000.0,499614000000.0,464850000000.0,543457000000.0,447542000000.0,371023000000.0,Upper middle income
Armenia,ARM,2303914532.0,2444524287.0,2722752389.0,3437836536.0,4367991087.0,5444343626.0,7802810227.0,9876359205.0,8373894148.0,9102915079.0,10133530953.0,10278417927.0,10979508122.0,11334720299.0,9606433610.0,9465980642.0,10645440263.0,11372553640.0,13075067474.0,Upper middle income
Antigua and Barbuda,ATG,677925925.9,680962963.0,729111111.1,761703703.7,884370370.4,1008370370.0,1172296296.0,1182518519.0,906148148.1,984592592.6,1009703704.0,1104740741.0,1087851852.0,1115158037.0,1107565815.0,1141769481.0,1105458481.0,1099228000.0,1082385889.0,High income
Australia,AUS,289949000000.0,298714000000.0,355823000000.0,464301000000.0,522907000000.0,555557000000.0,632840000000.0,779981000000.0,671288000000.0,850492000000.0,1013410000000.0,1120260000000.0,1157330000000.0,1079250000000.0,1015650000000.0,927513000000.0,1000310000000.0,1072640000000.0,1033080000000.0,High income
Austria,AUT,144354000000.0,155176000000.0,191625000000.0,219320000000.0,231240000000.0,243714000000.0,275390000000.0,307178000000.0,297967000000.0,290262000000.0,316323000000.0,300175000000.0,316529000000.0,323969000000.0,276717000000.0,284658000000.0,300421000000.0,324284000000.0,316061000000.0,High income
Azerbaijan,AZE,4288950929.0,4695947336.0,5264840648.0,5964485601.0,6959699598.0,9577233042.0,14232024240.0,20484177215.0,23864269719.0,26583727884.0,31251994428.0,34839867617.0,38703632887.0,42380211654.0,36673531134.0,27090618537.0,28167731815.0,30438294118.0,33062058824.0,Upper middle income
Burundi,BDI,930606970.9,894344321.1,837576963.4,982286417.5,1167383133.0,1391633735.0,1492003057.0,1818006094.0,1846035358.0,2091872319.0,2438257396.0,2519426614.0,2789460140.0,3014241346.0,3036966196.0,2666697458.0,2749784849.0,2769852492.0,2698804066.0,Low income
Belgium,BEL,174527000000.0,190365000000.0,234356000000.0,267455000000.0,278804000000.0,293894000000.0,335586000000.0,379669000000.0,365170000000.0,361888000000.0,395596000000.0,378302000000.0,400600000000.0,407138000000.0,346539000000.0,354922000000.0,374583000000.0,407042000000.0,398492000000.0,High income
Benin,BEN,3327730669.0,3753160651.0,4769604354.0,5426222865.0,5913687232.0,6385944941.0,7241960988.0,8784834750.0,8762912072.0,8551169824.0,9522954867.0,9767290380.0,10664852991.0,11045953244.0,9860273401.0,9870745400.0,10555708290.0,11532613719.0,11339278597.0,Lower middle income
Burkina Faso,BFA,3191140166.0,3627063125.0,4573328766.0,5353540216.0,5957345098.0,6355437317.0,7231591290.0,8917874463.0,8763443541.0,8699439015.0,10024561187.0,10474561511.0,11585218525.0,11948789739.0,10349257296.0,10942456501.0,11892471059.0,13140878554.0,13140485662.0,Low income
Bangladesh,BGD,42852075612.0,43320163678.0,48015474957.0,51313402412.0,54821235772.0,56423504485.0,63094504217.0,74047774695.0,81641583084.0,91289473950.0,102110000000.0,105053000000.0,116938000000.0,134695000000.0,151852000000.0,192906000000.0,214248000000.0,236370000000.0,256810000000.0,Lower middle income
Bulgaria,BGR,12476891564.0,14343630236.0,18629961332.0,22944990159.0,25961009466.0,29234997755.0,37836268020.0,45073013238.0,41471433852.0,40887934886.0,45272642019.0,44200796321.0,44402709691.0,45424922670.0,39664541487.0,41079737557.0,44921447421.0,50599224502.0,52219866629.0,Upper middle income
Bahrain,BHR,5753324468.0,6021728723.0,6670319149.0,8285531915.0,8589601064.0,8778377660.0,9498803191.0,11770345745.0,12590292553.0,13913776596.0,15227154255.0,16434680851.0,18327101064.0,18904707447.0,19619707447.0,20006622340.0,20781941489.0,21560957447.0,21681436170.0,High income
"Bahamas, The",BHS,5838100000.0,5886400000.0,5998700000.0,6203600000.0,6804800000.0,7297100000.0,7487300000.0,7625000000.0,7313200000.0,7491000000.0,7726900000.0,8217700000.0,8065300000.0,8538500000.0,8956800000.0,9064900000.0,9837700000.0,9999900000.0,9851800000.0,High income
Bosnia and Herzegovina,BIH,7221122255.0,8144396728.0,10248016272.0,11784966794.0,12842326572.0,14095740620.0,16895334010.0,20506606126.0,19001859578.0,18360337848.0,19823002843.0,18625405267.0,19349412120.0,19629097354.0,16443347924.0,16623976579.0,17342216385.0,19031256712.0,18778063905.0,Upper middle income
Belarus,BLR,9782194245.0,11751367951.0,13996538274.0,17203101852.0,21983008357.0,26120372960.0,31845526561.0,41612172285.0,36786788400.0,41009331991.0,38384864322.0,40474055416.0,48856159910.0,52475401017.0,38275806857.0,33483614797.0,38368162294.0,41597320377.0,45606319916.0,Upper middle income
