country_name,country_code,gpc_2001,gpc_2002,gpc_2003,gpc_2004,gpc_2005,gpc_2006,gpc_2007,gpc_2008,gpc_2009,gpc_2010,gpc_2011,gpc_2012,gpc_2013,gpc_2014,gpc_2015,gpc_2016,gpc_2017,gpc_2018,gpc_2019
Afghanistan,AFG,0.0,179.43,190.68,211.38,242.03,263.73,359.69,364.66,437.27,543.31,591.19,638.85,624.32,614.22,556.01,512.01,516.68,485.67,494.18
Albania,ALB,1281.66,1425.12,1846.12,2373.58,2673.79,2972.74,3595.04,4370.54,4114.13,4094.35,4437.14,4247.63,4413.06,4578.63,3952.8,4124.06,4531.02,5287.66,5396.22
Algeria,DZA,1740.61,1781.83,2103.38,2610.19,3113.09,3478.71,3950.51,4923.63,3883.27,4480.79,5455.68,5592.22,5499.59,5493.06,4177.89,3946.45,4109.7,4142.02,3989.67
American Samoa,ASM,0.0,8666.66,8807.46,8528.25,8395.32,8340.52,8874.88,9740.82,11910.01,10216.82,10223.3,11496.52,11450.72,11525.16,12059.64,12038.25,11003.83,11521.61,11715.36
Andorra,AND,22970.51,25067.24,32272.85,37966.19,40064.22,42674.76,47804.85,48719.66,43504.22,40849.76,43333.97,38684.57,39538.36,41302.38,35770.92,37474.75,38964.66,41793.32,40898.42
Angola,AGO,527.33,872.49,982.96,1255.56,1902.42,2599.57,3122.0,4080.94,3122.78,3497.97,4518.31,4978.43,5127.72,5094.11,3127.89,1728.02,2313.22,2524.94,2177.8
Antigua and Barbuda,ATG,10367.32,10401.05,10797.95,11446.97,12557.55,13995.8,15622.69,16044.11,14160.56,13048.96,12746.63,13272.73,12910.59,13501.58,14285.33,15198.74,15383.58,16679.59,17376.65
Argentina,ARG,7208.37,2593.4,3349.81,4277.72,5109.85,5919.01,7245.45,9020.87,8225.14,10385.96,12848.86,13082.66,13080.25,12334.8,13789.06,12790.24,14613.04,11795.16,10076.36
Armenia,ARM,694.42,783.24,930.13,1191.92,1643.76,2158.15,3139.28,4010.86,2994.34,3218.38,3525.81,3681.84,3838.17,3986.23,3607.29,3591.83,3914.53,4220.54,4604.65
Aruba,ABW,20417.78,20654.49,21070.07,22834.28,23591.16,24495.02,26452.23,28048.15,25170.83,24134.47,25849.96,25496.84,26442.43,26895.06,28399.05,28453.72,29348.42,30253.71,31135.88
