country_name,country_code,edu_2001,edu_2002,edu_2003,edu_2004,edu_2005,edu_2006,edu_2007,edu_2008,edu_2009,edu_2010,edu_2011,edu_2012,edu_2013,edu_2014,edu_2015,edu_2016,edu_2017,edu_2018,edu_2019,income_group,university_count,tuition
Angola,AGO,214983478.1,387686651.8,444784089.1,566607736.8,861381734.7,1173559795,1613246089,2285783734,2102908337,2702941027,3641400000,4212600000,4533900000,4890900000,3927000000,3421850990,4105500000,3338795493,2923861801,Low income,18,Standard
Albania,ALB,117813750,130723337.5,170291092.4,218993873.4,246457134.9,276848712.7,334246631.1,397189690,366306134.1,367574831.1,404295655.2,386165196.7,413360041.9,420811677.8,359944696.2,430652244.1,431208986.6,500145450.3,502149869.7,High income,35,Standard
Argentina,ARG,12841200000,3988842928,4562800000,4818000000,6142400000,8280000000,10808000000,15002500000,15536300000,18486800000,25071046464,27750868812,28253339862,26234710218,30665433944,27599850570,31294914217,25255544807,21661870447,High income,127,Standard
Armenia,ARM,51896798.4,59776251.38,72036935.7,94501156.53,132249832.6,176705202.3,261573904.9,339528924.1,252310803.1,277391346.5,305311195.9,326853743.1,301002327,254766307.9,296117168.8,263833083.2,273378571.1,289999550.4,316116555.4,High income,44,Standard
Antigua and Barbuda,ATG,26838989.33,26975423.75,27089232.86,27426346.15,29021299.94,30899435.99,32816392.09,31770968.28,26493959.99,25222042.51,24807868.34,26107240.84,25712732.5,26752015.82,28180767.51,30138367.5,31257630.83,34379848.33,35583251.67,High income,2,Standard
Australia,AUS,17825920000,18703300000,22118880000,29169420000,32781000000,34392200000,38025600000,46460000000,43008000000,55880000000,64990000000,75750000000,76343429209,69565654245,66265485443,59237327896,64759451683,69277552963,67771519203,High income,40,Standard
Austria,AUT,10666500000,11342000000,13754700000,15420000000,16033500000,17085900000,19438800000,22003800000,22200000000,21330000000,23382000000,21361000000,22767486392,22879080370,19699836913,20343905069,20849912377,22772962547,22418716463,High income,73,Free
Azerbaijan,AZE,204717534.6,198777319.5,240955666.4,298904345.2,391946562.3,522729572.4,804273919.1,1161552154,1402953098,1442491652,1572861796,1416304373,1732254824,1904229749,1532380564,1077984877,997849387.7,1141284052,1178560520,High income,41,Standard
Burundi,BDI,24032464.99,22565512.37,21485250.11,25172844.75,39578868,49950713.33,58062872.69,74750419.44,96339248.08,128556512.5,128000261.2,132394445.5,126977586.9,139687047.9,160583021.9,141396663.7,142017448.7,138386055.1,136516180.5,Low income,21,Standard
Belgium,BEL,13505369110,14955986994,17972583607,21018800000,21840000000,23308200000,26855100000,31416000000,30625000000,29768000000,32007600000,31087332729,32676033375,33557967198,28304119719,29047726882,30600941296,33140940376,32657131028,High income,63,Standard
Benin,BEN,98959268.72,110400864.5,149772432.5,204901674.8,237105982.2,243734743.5,262292962.4,382256503.6,417336445.7,454178646.5,509864964.1,527152116.1,583850084.5,601659882.3,331316926.7,343714272.8,368443846,413747658.8,417919615.3,Low income,26,Standard
Burkina Faso,BFA,101373192.8,124134763.5,174781869.3,216245121.5,259714556.5,275516707,201194096.7,267450040.5,283298739.7,316783607.5,478776255.6,443214555.2,563778525.7,574846323.4,486733714.5,528480500.2,585183172.9,663220026.6,660570964.2,Low income,17,Standard
Bangladesh,BGD,723187157.1,711350557.2,1051413057,1005296599,1120444300,1221510706,1516485097,1687498334,1764900000,2224426875,2737025369,2877837611,2915472305,2970924594,2973550529,2912247631,2940213483,2919227416,2854912996,Low income,138,Standard
Bulgaria,BGR,470297978.2,534208450.6,818722654.2,587487497.8,1141201228,1277445060,1481723965,2073872028,2125075933,1975183834,2061744959,1912759792,2099528168,2195890795,1925811892,2063851351,2304111721,2556839072,2666535120,High income,48,Standard
Bahrain,BHR,327101252.1,325162233.9,358903904.3,402135541.2,467297742.1,509167314.2,542212239.9,634553007.7,543752900.7,638356055.7,705970305.9,865489653.8,912098876.1,924073781.5,853058884.5,885789295.2,974387960.1,1039628457,1059005497,High income,12,Standard
Bahamas,BHS,311409679.1,333575032.3,334374950.5,341904233.3,370294013.6,381613433,398393799.4,401459211,377485943.8,379274100.6,379046649.5,400479598.7,391116515.6,410667719.4,437096537.7,438661462.5,453146222.3,460377095.4,481070541,High income,1,Standard
Belarus,BLR,665814036.9,788698685.7,968107764.1,1255727395,1688677369,2103539190,2184994306,2779862732,2189456274,2774972143,2754497322,3063043393,3556336589,3585480110,2573943574,2266976958,2476338808,2720370778,2938423342,High income,47,Standard
Belize,BLZ,40145593.43,43357584.24,45598985.25,47666764.95,52653673.78,60312849.54,64374475.18,71339135.63,76578921.72,80160152.29,91361059.5,91806551.77,93307499.07,97737290.4,103917438.3,107256411.2,110759766.4,112441621.4,116238479.8,High income,3,Standard
"Bolivia, Plurinational State of",BOL,431412531,476678604.9,492506837.6,499968415.5,512755400.8,577051405.8,731320003.9,1026373448,1228297766,1352646270,1505011678,1542140161,1744968206,1902932281,1937884511,2025869999,2213058944,2390169165,2434943950,Low income,52,Standard
Brazil,BRA,20704400000,18290300000,20585050000,25350000000,38017400000,51732000000,66445000000,85140000000,88020000000,1.15E+11,1.4E+11,1.33E+11,1.35E+11,1.37E+11,1.08E+11,1.1E+11,1.27E+11,1.17E+11,1.15E+11,High income,203,Free
Barbados,BRB,154312760,161028945,175921460,187679460,202269750,213107153.1,233730134.3,227860207.1,239425107.6,255363310.2,243358198.6,239186456.7,259343668.7,278115691.7,245535407.6,217803292.1,207692870,212142254,219742322.6,High income,4,Standard
Brunei Darussalam,BRN,194861941.4,193881659.8,207015005.5,235855103.1,270215270.7,306726598.3,309352667.8,339807530.1,236287656.9,276219948.7,424837557.6,498860670.1,538598852.6,570014890.7,497533111.5,488232254.2,512674430.9,544702386.2,551857369.7,High income,4,Standard
Bhutan,BTN,17848725.15,20170395.5,23590195.7,27061823.57,33770878.31,34247365.45,41023712.3,38081896.82,47574340.94,44530315.77,56049718.24,70228655.26,84885047.83,108332154.7,130771313.4,138688823.5,157245657.4,156482194.8,162064311.7,Low income,0,No College
Botswana,BWA,385344209.7,366430881.6,561316699.5,703000768.9,846662435.6,773473105.4,734464070.2,850367834.9,950760273.8,1151564587,1423528438,1342804984,1351011149,1493702157,1312915889,1447086189,1544009398,1608927012,1567354888,High income,15,Standard
Central African Republic,CAF,14708127.92,15680884.53,18201541.9,20168624.7,21366967.97,20287247.25,21929333.22,24921971.17,25255167.56,24750699.06,28148678.24,28995504.92,19627155.25,22016945.7,19744122.42,21249490.85,25046257.1,27447570.47,27439270.5,Low income,1,Standard
Canada,CAN,36259000000,36807502558,42518784917,47624247664,53590000000,60125000000,66555000000,67014000000,61830000000,79500000000,86768000000,88740000000,89726000000,87754000000,75429000000,74443000000,80359000000,83317000000,84796000000,High income,101,Standard
Switzerland,CHE,12188200000,14977800000,18450800000,20253000000,20021400000,20282500000,21576000000,25690600000,25968600000,27348000000,33096600000,32264200000,31580132136,32237046458,31116994110,30655082692,30743553350,31230141964,31185906635,High income,23,Standard
Chile,CHL,2432995859,2466815495,2621454001,3178546836,3763200000,4420000000,5220600000,6637226648,6810300000,8586900000,9764400000,11883000000,12064800000,11914524129,11669037997,12394135021,14037589935,14987502036,14195908618,High income,55,Standard
China,CHN,23628000000,26134000000,29535000000,34905000000,40633000000,49225000000,63724000000,82698000000,91111000000,1.08E+11,1.34E+11,1.52E+11,1.7E+11,1.88E+11,1.97E+11,2E+11,2.2E+11,2.47E+11,2.54E+11,High income,936,Standard
Côte d'Ivoire,CIV,392849021.8,478824168.2,577982686.1,638911372.5,667439218.8,691101443.1,819614930.2,994072457.5,983127968.2,1055033451,981199045.7,1085248578,1322136130,1571110618,1506534315,1779925980,1835286676,1778329630,1815497898,Low income,15,Standard
Cameroon,CMR,230446931.8,319765817.3,450951581.1,504784837.8,549704698.6,518521290.2,653619943.9,707092792.9,790054626.8,806400124.4,852198418.1,793248441.2,887322907.2,967390908.8,851525339.8,891255109.3,949717762.7,1051468354,1040586269,Low income,16,Standard
"Congo, the Democratic Republic of the",COD,76937527.82,95880005,103238083.8,123167613,146744485,185776226.4,221655454.4,262911987.4,262966633.1,313955080.1,417236178.7,520948976.4,615293718,677102825.5,723611593.5,748714526.4,761080575.8,944806215.9,1008611476,Low income,69,Standard
Congo,COG,82174422.98,83628637.75,97674997.54,105473036,127053038.6,172169235.6,185475068.2,256375226.5,224921915.8,307682527.5,354594813.2,421783255.8,442067924.3,457420174.9,297855573.5,247597858.8,240213273.9,293580669.2,252433644.6,Low income,1,Standard
Colombia,COL,3792458782,4048915041,3787616800,4565200000,5822000000,6248600000,7440000000,8283600000,8820000000,10784043941,10464600000,11388300000,13538448064,12839000000,9794932348,9819719488,10776144627,12981702698,12583490958,High income,207,Standard
Comoros,COM,8164774.881,9270773.779,12043021.79,14113994.52,14752998.36,15957016.61,18469227.98,21420867.08,21438338.23,21757692.85,24799048.18,24877982.92,27691821.62,28865496.65,24585752.86,25810346.01,27463086.77,30047726.3,29683625.61,Low income,0,No College
Cape Verde,CPV,27031315.45,30130426.48,43749743.21,56542221.18,52968164.71,53677946.26,69530897.13,88331423.96,78751005.01,78125323.69,89818252.25,84611498.87,91792651.66,91984675.25,81037449.56,83604939.74,89014540.25,100089877.4,101088442.1,Low income,9,Standard
Costa Rica,CRI,730139488.9,659594574.5,671390170.7,709378811.8,816286952.7,988949466.3,1240477816,1510376514,1843363238,2339315767,2742056192,3135609995,3471676576,3499721188,3762451374,3895001184,4090069234,4115755455,4271583169,High income,55,Standard
